# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        9.844       23.148
       1.030        0.000       45.910       89.711
       2.056        0.000       65.422      122.496
       3.080        0.000      113.195      157.309
       4.104        0.000      113.711      157.695
       5.128        0.000       98.742      147.652
       6.158        0.000      153.156      200.059
       7.182        0.000      217.867      261.789
       8.211        0.000      278.969      325.527
       9.241        0.000      344.453      391.223
      10.266        0.000      410.711      455.598
      11.292        0.000      475.164      520.172
      12.317        0.000      589.949      637.480
